title,proposer,postedDate,status,admin,closedDate,lifespan,comments,dynasty
"Better paint","ChronosPhaenon","18 Aug  2005 18:15:07","Enacted","?","19 Aug 2005  14:02:08",19,6,28
"Burst of Flavor","Seventy-Fifth Trombone","18 Aug  2005 22:54:02","Failed","Excalabur","20 Aug 2005  16:50:03",41,11,28
"Where to start","jamuraa","18 Aug  2005 23:07:01","Enacted","Excalabur","20 Aug 2005  16:53:02",41,5,28
"Inflatable Jousting Ring","Excalabur","19 Aug  2005 04:57:09","Failed","Excalabur","20 Aug 2005  16:55:10",35,7,28
"Debtorâ€™s Prison","Excalabur","19 Aug  2005 05:32:40","Enacted","Excalabur","20 Aug 2005  16:56:40",35,7,28
"The Time Has Comeâ€¦ To Say Fairâ€™s Fair","jamuraa","19 Aug  2005 06:54:17","Failed","Excalabur","20 Aug 2005  17:04:18",34,8,28
"The Emporers new GOroove","Quazie","19 Aug  2005 19:43:22","Enacted","Excalabur","20 Aug 2005  17:09:22",21,7,28
"Rent","ChronosPhaenon","19 Aug  2005 21:06:05","Enacted","Excalabur","20 Aug 2005  17:11:06",20,8,28
"Homeland Jump","ChronosPhaenon","19 Aug  2005 21:12:00","Failed","Excalabur","20 Aug 2005  17:13:01",20,6,28
"Clan Benefits","ChronosPhaenon","19 Aug  2005 21:15:07","Enacted","Excalabur","20 Aug 2005  17:14:07",19,6,28
"Legicide","Rodney","20 Aug  2005 13:47:52","Enacted","Excalabur","20 Aug 2005  17:16:53",3,7,28
"Give Jamuraa a square","Excalabur","21 Aug  2005 00:30:49","Enacted","?","22 Aug 2005  05:35:49",29,5,28
"Jackpot in the GNDT","Excalabur","21 Aug  2005 00:40:50","Enacted","?","22 Aug 2005  05:37:52",28,5,28
"Mortgage & Pawn","jamuraa","21 Aug  2005 01:27:07","Failed","?","22 Aug 2005  05:31:08",28,8,28
"Indians slowly get their revenge","jamuraa","21 Aug  2005 01:52:56","Enacted","?","22 Aug 2005  05:31:57",27,7,28
"Dice Redux","ChronosPhaenon","21 Aug  2005 13:24:41","Failed","?","22 Aug 2005  05:34:42",16,8,28
"Raimbow Fest","ChronosPhaenon","21 Aug  2005 13:37:52","Enacted","?","22 Aug 2005  05:33:53",15,6,28
"Punching a minor loophole","ChronosPhaenon","21 Aug  2005 13:50:15","Failed","?","22 Aug 2005  20:32:16",30,6,28
"Groups and such","Shadowclaw","21 Aug  2005 15:45:41","Vetoed","?","23 Aug 2005  10:52:40",43,6,28
"The Switch","Seventy-Fifth Trombone","21 Aug  2005 23:32:58","Failed","?","22 Aug 2005  20:32:58",21,5,28
"The Echo","Seventy-Fifth Trombone","22 Aug  2005 11:19:33","Enacted","?","22 Aug 2005  20:33:34",9,5,29
"Go loophole","ChronosPhaenon","22 Aug  2005 12:53:14","Enacted","?","22 Aug 2005  20:35:15",7,4,29
"Painting loophole","ChronosPhaenon","22 Aug  2005 12:56:11","Enacted","?","24 Aug 2005  05:33:10",40,3,29
"Mortgage & Pawn Fixed","jamuraa","22 Aug  2005 18:03:19","Enacted","?","24 Aug 2005  05:35:20",35,6,29
"We need more real estate!","Rodney","22 Aug  2005 18:53:31","Enacted","?","24 Aug 2005  05:39:31",34,8,29
"The world is growingâ€¦","Shadowclaw","22 Aug  2005 20:56:26","Enacted","?","25 Aug 2005  05:46:27",56,6,29
"Opps.","Rodney","22 Aug  2005 20:57:41","Failed","?","25 Aug 2005  05:47:42",56,6,29
"More Warping","Excalabur","23 Aug  2005 00:41:31","Enacted","?","25 Aug 2005  05:58:33",53,5,29
"Sproing!!!","jamuraa","23 Aug  2005 02:49:44","Enacted","?","25 Aug 2005  05:59:46",51,5,29
"Scooter loophole","ChronosPhaenon","23 Aug  2005 04:20:38","Enacted","?","25 Aug 2005  05:59:40",49,8,29
"Inflation","ChronosPhaenon","23 Aug  2005 04:24:50","Enacted","?","25 Aug 2005  06:01:52",49,3,29
"I hit the JACKPOT, Hooray! (also, the loops stop here)","jamuraa","23 Aug  2005 16:24:54","Enacted","?","25 Aug 2005  09:49:55",41,5,29
"Time to Market","smith","23 Aug  2005 22:22:37","Enacted","?","25 Aug 2005  09:52:38",35,5,29
"Whitewash","smith","23 Aug  2005 22:34:13","Enacted","?","25 Aug 2005  09:51:13",35,4,29
"Jackpot review","ChronosPhaenon","24 Aug  2005 14:15:49","Enacted","?","25 Aug 2005  11:46:51",21,4,29
"Machinery","ChronosPhaenon","25 Aug  2005 13:49:48","Enacted","?","27 Aug 2005  07:10:48",41,4,29
"Slot Machine","ChronosPhaenon","25 Aug  2005 14:03:03","Enacted","?","27 Aug 2005  07:11:03",41,4,29
"Rule the World!","Rodney","25 Aug  2005 19:16:31","Enacted","?","27 Aug 2005  07:11:32",35,4,29
"Warp Machine","ChronosPhaenon","25 Aug  2005 19:41:52","Failed","Excalabur","28 Aug 2005  12:30:54",64,4,29
"Eureka!","jamuraa","26 Aug  2005 02:11:36","Failed","Excalabur","28 Aug 2005  06:48:37",52,8,29
"Color factory revamp","ChronosPhaenon","27 Aug  2005 15:09:48","Enacted","?","29 Aug 2005  07:01:47",39,3,29
"Property Value","ChronosPhaenon","27 Aug  2005 15:09:58","Enacted","?","29 Aug 2005  07:01:58",39,4,29
"Do you smell something burning?","Rodney","28 Aug  2005 18:14:35","Enacted","?","29 Aug 2005  10:26:35",16,3,29
"Often is not often enough","ChronosPhaenon","29 Aug  2005 13:58:47","Enacted","?","29 Aug 2005  13:45:48",0,3,29
"Quick Inflation","ChronosPhaenon","29 Aug  2005 14:09:58","Enacted","?","29 Aug 2005  13:45:59",0,3,29
"More Popularity","ChronosPhaenon","29 Aug  2005 17:39:58","Failed","?","31 Aug 2005  06:42:57",37,5,29
"Victory","Rodney","29 Aug  2005 20:07:18","Enacted","smith","31 Aug 2005  06:45:18",34,5,29
"Throne Machinery","ChronosPhaenon","29 Aug  2005 20:59:02","Failed","?","31 Aug 2005  07:14:02",34,6,29
"It would be nice to knowâ€¦","gazebo_dude","29 Aug  2005 23:30:33","Enacted","?","31 Aug 2005  07:13:33",31,4,29
"Archemedes!","jamuraa","31 Aug  2005 00:39:27","Enacted","?","31 Aug 2005  11:58:28",11,3,29
"New Player Incentive","smith","31 Aug  2005 13:25:47","Vetoed","?","01 Sep 2005  03:55:48",14,2,29
"Reset","ChronosPhaenon","31 Aug  2005 15:07:33","Enacted","?","31 Aug 2005  11:28:34",3,4,29
"This land is your land, this land is *explosion sound*","jamuraa","31 Aug  2005 17:05:36","Failed","?","01 Sep 2005  03:56:37",10,4,29
"Return of the Robomuffins","Rodney","31 Aug  2005 19:04:56","Failed","?","01 Sep 2005  03:54:57",8,2,29
"Dices (another try)","ChronosPhaenon","01 Sep  2005 10:57:43","Failed","?","01 Sep 2005  13:32:43",2,4,29
"Go benefits","ChronosPhaenon","01 Sep  2005 15:55:31","Enacted","?","01 Sep 2005  13:32:31",2,2,29
"Minimal Yellow","ChronosPhaenon","01 Sep  2005 16:03:02","Enacted","?","01 Sep 2005  13:33:01",2,2,29
"From Ca-li-for-nia, to the New York Isl-*boom*","jamuraa","01 Sep  2005 16:20:14","Enacted","?","01 Sep 2005  13:33:14",2,3,29
"Iâ€™m in the blue","ChronosPhaenon","02 Sep  2005 17:02:35","Vetoed","?","03 Sep 2005  05:25:35",12,2,29
"Homeland Rent","ChronosPhaenon","02 Sep  2005 19:27:42","Failed","?","04 Sep 2005  06:25:44",34,4,29
"No insta-win","ChronosPhaenon","02 Sep  2005 19:41:40","Enacted","?","04 Sep 2005  16:07:41",44,4,29
"Restart","ChronosPhaenon","03 Sep  2005 12:24:12","Failed","?","05 Sep 2005  11:35:11",47,9,29
"Small item loophole","ChronosPhaenon","04 Sep  2005 13:26:31","Failed","?","05 Sep 2005  16:57:32",27,4,29
"Take-Over","ChronosPhaenon","05 Sep  2005 00:29:20","Enacted","?","05 Sep 2005  16:57:21",16,3,29
"Make win possible","ChronosPhaenon","05 Sep  2005 15:35:16","Enacted","?","08 Sep 2005  05:13:16",61,2,29
"Victory fix","Rodney","05 Sep  2005 18:33:53","Enacted","?","08 Sep 2005  05:14:53",58,7,29
"The end of inflation.","Rodney","05 Sep  2005 18:36:16","Failed","?","08 Sep 2005  05:15:17",58,3,29
"Clock Tower","smith","05 Sep  2005 20:40:45","Enacted","?","08 Sep 2005  05:15:45",56,3,29
"Better Tangelos","ChronosPhaenon","05 Sep  2005 23:57:56","Enacted","?","08 Sep 2005  05:16:56",53,4,29
"Whadahell","ChronosPhaenon","06 Sep  2005 00:00:02","Enacted","?","08 Sep 2005  05:17:02",53,5,29
"Landlord","ChronosPhaenon","08 Sep  2005 13:51:55","Enacted","?","08 Sep 2005  14:15:56",0,3,29
"No Lexicography","ChronosPhaenon","08 Sep  2005 14:16:51","Enacted","?","08 Sep 2005  14:49:52",0,5,29
"No Gaol Proprietor","ChronosPhaenon","08 Sep  2005 17:01:14","Failed","?","08 Sep 2005  14:59:15",2,2,29
"Mortgage Reform","ChronosPhaenon","08 Sep  2005 21:28:40","Enacted","?","09 Sep 2005  07:08:40",9,3,29
"Taking Turns","smith","09 Sep  2005 13:59:39","Enacted","?","09 Sep 2005  15:16:40",1,3,29
"Make Win possible, again","ChronosPhaenon","09 Sep  2005 21:40:41","Failed","?","09 Sep 2005  16:23:42",5,5,29
"Taking agile turns","ChronosPhaenon","09 Sep  2005 22:18:33","Vetoed","?","12 Sep 2005  06:06:33",55,2,29
"Hand Fix","Rodney","09 Sep  2005 22:25:38","Vetoed","?","12 Sep 2005  06:06:38",55,3,29
"Make Win possible, again, redux","ChronosPhaenon","09 Sep  2005 23:23:47","Vetoed","?","12 Sep 2005  06:06:48",54,3,29
"The World","ChronosPhaenon","11 Sep  2005 11:31:17","Enacted","?","11 Sep 2005  17:37:16",6,4,30
"Territories","ChronosPhaenon","11 Sep  2005 11:42:10","Enacted","?","11 Sep 2005  17:55:10",6,4,30
"Iâ€™m being oppressed!","Rodney","11 Sep  2005 14:48:02","Enacted","?","11 Sep 2005  18:03:03",3,4,30
"hCommodities","ChronosPhaenon","12 Sep  2005 00:35:59","Enacted","?","12 Sep 2005  07:15:58",6,6,30
"Population","ChronosPhaenon","12 Sep  2005 01:14:02","Enacted","?","12 Sep 2005  07:16:03",6,6,30
"Races","Purplebeard","12 Sep  2005 12:26:51","Failed","Purplebeard","12 Sep 2005  07:33:50",4,6,30
"Races: revisited","Purplebeard","12 Sep  2005 13:41:09","Enacted","?","12 Sep 2005  17:19:28",3,6,30
"Market","ChronosPhaenon","12 Sep  2005 15:37:25","Failed","?","12 Sep 2005  17:19:43",1,10,30
"Free Market","ChronosPhaenon","12 Sep  2005 18:26:26","Failed","?","12 Sep 2005  17:19:46",1,1,30
"Currency","ChronosPhaenon","13 Sep  2005 00:21:15","Enacted","?","13 Sep 2005  10:20:14",9,6,30
"Market, Take Two","ChronosPhaenon","13 Sep  2005 00:21:26","Enacted","?","13 Sep 2005  10:20:25",9,6,30
"We have the GNDTâ€¦. might as well use it!","Excalabur","13 Sep  2005 06:18:53","Vetoed","?","13 Sep 2005  10:22:54",4,6,30
"Autoproduction","Excalabur","13 Sep  2005 06:28:32","Failed","Excalabur","14 Sep 2005  00:15:33",17,8,30
"And we shall call it, THIS LANDâ€¦","jamuraa","13 Sep  2005 12:47:07","Failed","Excalabur","14 Sep 2005  00:19:06",11,11,30
"Letâ€™s Get Down To-night COME ON!","jamuraa","13 Sep  2005 13:18:30","Enacted","Excalabur","14 Sep 2005  00:24:31",11,8,30
" Building a nation","Purplebeard","13 Sep  2005 17:30:34","Enacted","?","14 Sep 2005  14:34:34",21,10,30
"Forced Sell","ChronosPhaenon","13 Sep  2005 17:49:46","Enacted","?","14 Sep 2005  14:35:46",20,6,30
"Population Ammendment","ChronosPhaenon","13 Sep  2005 17:55:38","Failed","?","14 Sep 2005  14:36:37",20,2,30
"Everybody get together try to loooove one another right nowâ€¦","jamuraa","14 Sep  2005 15:31:23","Enacted","?","14 Sep 2005  14:39:23",0,5,30
"Action Points","ChronosPhaenon","14 Sep  2005 23:01:29","Failed","?","15 Sep 2005  06:36:29",7,5,30
"Marco Polo","smith","15 Sep  2005 03:50:38","Enacted","?","15 Sep 2005  10:30:38",6,5,30
"Semiauto-Production","ChronosPhaenon","15 Sep  2005 13:35:57","Enacted","Excalabur","15 Sep 2005  18:23:59",4,6,30
"Breeding small loophole","ChronosPhaenon","15 Sep  2005 14:00:19","Failed","Excalabur","15 Sep 2005  18:25:19",4,2,30
"Breeding loophole alternative","jamuraa","15 Sep  2005 15:25:47","Enacted","Excalabur","15 Sep 2005  18:35:46",3,5,30
"Well, Well, Well","ChronosPhaenon","16 Sep  2005 01:48:48","Enacted","?","16 Sep 2005  13:32:47",11,6,30
"Consume","ChronosPhaenon","16 Sep  2005 13:02:44","Failed","?","16 Sep 2005  17:12:44",4,10,30
"Beginnings of Empire","smith","16 Sep  2005 18:18:15","Enacted","Excalabur","18 Sep 2005  11:20:17",41,5,30
"Getting There","smith","16 Sep  2005 19:40:28","Enacted","Excalabur","18 Sep 2005  11:32:30",39,7,30
"Subtlier Consume","ChronosPhaenon","17 Sep  2005 00:13:24","Enacted","Excalabur","18 Sep 2005  23:24:24",47,3,30
"Spoils","ChronosPhaenon","17 Sep  2005 00:58:40","Enacted","Excalabur","18 Sep 2005  23:25:40",46,2,30
"Choo choo!","Purplebeard","17 Sep  2005 10:25:47","Failed","?","19 Sep 2005  08:55:48",46,6,30
"Your ticket, please","Purplebeard","17 Sep  2005 17:10:17","Enacted","?","19 Sep 2005  08:58:18",39,2,30
"Topology","Excalabur","18 Sep  2005 18:42:26","Enacted","Excalabur","19 Sep 2005  10:54:26",16,8,30
"Spaghetti Topology","ChronosPhaenon","19 Sep  2005 15:58:19","Enacted","?","20 Sep 2005  18:09:20",26,5,30
"Construction Reform","ChronosPhaenon","19 Sep  2005 16:19:32","Enacted","?","20 Sep 2005  18:09:34",25,5,30
"Transport Addition","smith","19 Sep  2005 17:15:55","Enacted","?","20 Sep 2005  18:15:57",25,4,30
"Help! Help! Iâ€™m being repressed!","jamuraa","19 Sep  2005 18:58:11","Enacted","?","20 Sep 2005  18:26:13",23,6,30
"The Last Straw","smith","20 Sep  2005 01:27:59","Enacted","?","20 Sep 2005  18:10:01",16,6,30
"The little proposal that could (be posted in the correct category)","Purplebeard","20 Sep  2005 17:59:56","Failed","Excalabur","21 Sep 2005  14:44:56",20,5,30
"Making up original names for proposals isnâ€™t my strongest point","Purplebeard","20 Sep  2005 20:43:25","Enacted","Excalabur","21 Sep 2005  14:46:26",18,6,30
"Slight Rebalancing","smith","21 Sep  2005 14:47:14","Failed","Excalabur","23 Sep 2005  09:44:15",42,3,30
"Takeover Loophole","jamuraa","21 Sep  2005 15:09:36","Vetoed","Excalabur","23 Sep 2005  09:50:36",42,6,30
"More Takeover Bugs","smith","21 Sep  2005 15:26:41","Enacted","Excalabur","23 Sep 2005  10:15:40",42,7,30
"Rewrite Hostile Takeover","ChronosPhaenon","21 Sep  2005 16:25:02","Failed","Excalabur","23 Sep 2005  10:04:02",41,3,30
"Loopholemania redux","jamuraa","21 Sep  2005 21:27:31","Failed","Excalabur","23 Sep 2005  17:03:29",43,7,30
"What about metal?","Excalabur","22 Sep  2005 21:41:35","Enacted","Excalabur","23 Sep 2005  17:22:36",19,6,30
"Keeping growth in check","Purplebeard","23 Sep  2005 20:26:22","Enacted","?","24 Sep 2005  12:41:23",16,7,30
"Revenge of the natives","Rodney","24 Sep  2005 13:03:51","Failed","?","24 Sep 2005  12:42:53",0,10,30
"The Wild Blue Yonder","smith","24 Sep  2005 15:56:39","Enacted","Excalabur","24 Sep 2005  22:29:39",6,5,30
"New races!","Rodney","24 Sep  2005 17:55:14","Failed","Excalabur","24 Sep 2005  22:44:15",4,6,30
"Closing an Anarchic Loophole","ChronosPhaenon","24 Sep  2005 19:32:53","Enacted","Excalabur","25 Sep 2005  00:58:55",5,4,30
"Untie what should not be tied","ChronosPhaenon","24 Sep  2005 19:35:57","Failed","Excalabur","25 Sep 2005  00:59:59",5,8,30
"Wanna see my machinery?","Purplebeard","24 Sep  2005 19:42:53","Enacted","Excalabur","25 Sep 2005  01:00:54",5,6,30
"Letâ€™s make this interesting","Purplebeard","25 Sep  2005 15:35:53","Failed","Excalabur","25 Sep 2005  11:54:55",3,3,30
"Fortifications","Excalabur","25 Sep  2005 18:57:08","Enacted","Excalabur","26 Sep 2005  16:12:09",21,4,30
"MOVE, damn it!","Purplebeard","25 Sep  2005 19:57:08","Enacted","Excalabur","26 Sep 2005  16:19:09",20,4,30
"Cannonball Z","Purplebeard","25 Sep  2005 20:04:53","Enacted","Excalabur","26 Sep 2005  16:27:54",20,4,30
"This Aggression will not stand","smith","25 Sep  2005 20:46:14","Failed","smith","27 Sep 2005  08:33:15",35,11,30
"Slime Time","Rodney","25 Sep  2005 21:49:27","Vetoed","smith","27 Sep 2005  11:28:26",37,6,30
"Robot transportation","Excalabur","26 Sep  2005 06:36:51","Failed","Excalabur","28 Sep 2005  00:13:51",41,5,30
"Revenge of the Revenge of the Natives","Rodney","26 Sep  2005 17:30:56","Failed","Excalabur","28 Sep 2005  00:14:57",30,9,30
"Untie what should not be tied, with some more caveats","ChronosPhaenon","27 Sep  2005 01:13:28","Enacted","Excalabur","28 Sep 2005  21:16:28",44,6,30
"Standing Offers","ChronosPhaenon","27 Sep  2005 01:37:13","Enacted","Excalabur","28 Sep 2005  21:22:14",43,5,30
"Transportation Review","smith","27 Sep  2005 12:33:33","Enacted","Excalabur","28 Sep 2005  21:54:34",33,6,30
"A kinder, gentler invasion","smith","27 Sep  2005 15:33:20","Failed","smith","29 Sep 2005  10:43:20",43,5,30
"Information Sheet","Excalabur","28 Sep  2005 08:51:10","Enacted","Excalabur","30 Sep 2005  01:54:12",41,3,30
"Nonagressive Leader","Excalabur","28 Sep  2005 09:29:45","Failed","Excalabur","30 Sep 2005  02:40:45",41,8,30
"Idleness loophole fix.","Rodney","28 Sep  2005 12:01:16","Enacted","Excalabur","30 Sep 2005  02:42:16",38,4,30
"Negative Presence Fix","jamuraa","28 Sep  2005 16:55:58","Failed","Excalabur","30 Sep 2005  02:44:59",33,5,30
"Endgame","ChronosPhaenon","29 Sep  2005 16:06:16","Enacted","Excalabur","30 Sep 2005  02:47:17",10,5,30
"Going Native","smith","29 Sep  2005 18:18:29","Failed","smith","01 Oct 2005  13:00:31",42,3,30
"Sun Tzu would be confused","smith","30 Sep  2005 18:19:33","Enacted","Excalabur","01 Oct 2005  22:58:33",28,4,30
"More info","ChronosPhaenon","30 Sep  2005 18:54:08","Enacted","Excalabur","02 Oct 2005  12:34:09",41,4,30
"please forgive this invasion","smith","02 Oct  2005 13:31:33","Vetoed","Excalabur","02 Oct 2005  18:16:33",4,4,30
"Alliances","Purplebeard","02 Oct  2005 16:58:21","Enacted","Excalabur","03 Oct 2005  23:26:22",30,9,30
"This means WAR!","Purplebeard","02 Oct  2005 17:22:42","Failed","Excalabur","03 Oct 2005  23:51:43",30,6,30
"go away","smith","03 Oct  2005 17:34:55","Enacted","Excalabur","04 Oct 2005  13:14:56",19,4,30
"Iâ€™d like you to meet my little friend","smith","03 Oct  2005 19:39:03","Vetoed","Excalabur","04 Oct 2005  15:52:04",20,6,30
"Emigration fix (minor)","Excalabur","04 Oct  2005 06:57:00","Enacted","Excalabur","06 Oct 2005  00:04:00",41,4,30
"Tourism?","Excalabur","04 Oct  2005 09:19:15","Vetoed","Excalabur","06 Oct 2005  00:07:16",38,6,30
"To arms, my brethren!","Purplebeard","04 Oct  2005 18:36:44","Failed","Purplebeard","06 Oct 2005  00:08:44",29,9,30
"Tourism, again?","ChronosPhaenon","04 Oct  2005 20:10:42","Enacted","?","06 Oct 2005  11:56:43",39,4,30
"yes it is invasion v.4","smith","05 Oct  2005 02:37:25","Enacted","?","06 Oct 2005  11:57:26",33,4,30
"effects of being on wartime footing","smith","05 Oct  2005 02:39:24","Enacted","Excalabur","06 Oct 2005  15:56:23",37,4,30
"More Tourism","ChronosPhaenon","05 Oct  2005 18:41:28","Enacted","smith","07 Oct 2005  12:21:28",41,5,30
"More war","Purplebeard","05 Oct  2005 19:46:53","Enacted","smith","07 Oct 2005  14:52:54",43,5,30
"Auto-population","Rodney","06 Oct  2005 01:01:16","Enacted","smith","07 Oct 2005  15:06:17",38,7,30
"Tourist resort","Excalabur","06 Oct  2005 07:21:20","Failed","Excalabur","08 Oct 2005  00:30:20",41,4,30
"Rest and relaxation, this time with the right keywords","Excalabur","06 Oct  2005 21:07:15","Enacted","?","08 Oct 2005  17:34:15",44,5,30
"pre-emptive fix","smith","07 Oct  2005 02:02:57","Enacted","Excalabur","09 Oct 2005  02:34:58",48,4,30
"Lebensraum","ChronosPhaenon","07 Oct  2005 13:43:04","Failed","smith","10 Oct 2005  06:45:04",65,4,30
"Death to trading fines!","Rodney","07 Oct  2005 20:19:30","Vetoed","smith","10 Oct 2005  06:55:30",58,3,30
"An event for all the family, surely.","jamuraa","08 Oct  2005 05:24:10","Enacted","smith","10 Oct 2005  07:01:10",49,3,30
"I donâ€™t care if the natives are restless, keep the production lines running!","smith","08 Oct  2005 15:58:43","Enacted","Excalabur","10 Oct 2005  11:43:44",43,5,30
"Er. . . remember that â€˜loopholeâ€™ in the anarchy attack?","Excalabur","09 Oct  2005 08:56:05","Enacted","Excalabur","10 Oct 2005  16:23:06",31,5,30
"Beauty mod.","Excalabur","09 Oct  2005 09:15:19","Vetoed","Excalabur","10 Oct 2005  16:29:20",31,8,30
"More races","Purplebeard","09 Oct  2005 16:15:21","Failed","Excalabur","10 Oct 2005  16:30:21",24,5,30
"Fix the Loophole","Rodney","10 Oct  2005 01:39:12","Failed","Excalabur","11 Oct 2005  18:58:13",41,3,30
"half-breeds","smith","10 Oct  2005 14:07:11","Failed","Excalabur","12 Oct 2005  13:42:12",47,3,30
"King of the hill","Purplebeard","10 Oct  2005 18:56:01","Failed","Excalabur","12 Oct 2005  13:49:02",42,3,30
"Beauty Mod revamped","ChronosPhaenon","10 Oct  2005 22:03:23","Enacted","Excalabur","12 Oct 2005  14:16:23",40,4,30
"Missed something.","Excalabur","10 Oct  2005 23:24:21","Enacted","smith","12 Oct 2005  19:01:22",43,2,30
"Formatting revamp","Excalabur","11 Oct  2005 04:46:33","Enacted","Excalabur","12 Oct 2005  23:46:35",43,4,30
"Maintenance","smith","11 Oct  2005 15:51:20","Vetoed","Excalabur","13 Oct 2005  08:00:21",40,5,30
"Fixing events","Purplebeard","11 Oct  2005 18:08:56","Enacted","Excalabur","13 Oct 2005  08:11:57",38,6,30
"going the way of atlantis","smith","13 Oct  2005 13:35:50","Vetoed","Excalabur","13 Oct 2005  08:15:51",5,3,30
